--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
demo_image/cropped_2.png 	the                      	0.2339
demo_image/cropped_3.png 	cdd                      	0.1172
demo_image/cropped_4.png 	aza                      	0.1068
demo_image/cropped_5.png 	the                      	0.1884
demo_image/cropped_6.png 	gm                       	0.3406
demo_image/cropped_7.png 	127                      	0.0827
demo_image/cropped_8.png 	and                      	0.1595
demo_image/cropped_9.png 	can                      	0.0207
demo_image/cropped_10.png	ana                      	0.0279
demo_image/cropped_11.png	the                      	0.1481
demo_image/cropped_12.png	goe                      	0.2345
demo_image/cropped_13.png	978                      	0.0397
demo_image/cropped_14.png	the                      	0.0339
demo_image/cropped_15.png	gm                       	0.1199
demo_image/cropped_16.png	and                      	0.0192
demo_image/cropped_17.png	and                      	0.0410
demo_image/cropped_18.png	can                      	0.0688
demo_image/cropped_19.png	97a                      	0.1223
demo_image/cropped_20.png	the                      	0.1566
demo_image/cropped_21.png	goi                      	0.1870
demo_image/cropped_22.png	976                      	0.3593
demo_image/cropped_23.png	the                      	0.1449
demo_image/cropped_24.png	col                      	0.1153
demo_image/cropped_25.png	978                      	0.7256
demo_image/cropped_26.png	the                      	0.1566
demo_image/cropped_27.png	goi                      	0.1870
demo_image/cropped_28.png	976                      	0.3593
demo_image/cropped_29.png	the                      	0.0710
demo_image/cropped_30.png	the                      	0.1402
demo_image/cropped_31.png	aza                      	0.1058
demo_image/cropped_32.png	and                      	0.0410
demo_image/cropped_33.png	can                      	0.0688
demo_image/cropped_34.png	97a                      	0.1223
demo_image/cropped_35.png	the                      	0.2795
demo_image/cropped_36.png	cdd                      	0.1252
demo_image/cropped_37.png	978                      	0.4178
demo_image/cropped_38.png	and                      	0.0219
demo_image/cropped_39.png	an                       	0.1021
demo_image/cropped_40.png	and                      	0.0148
demo_image/cropped_41.png	in                       	0.2550
demo_image/cropped_42.png	con                      	0.0231
demo_image/cropped_43.png	ara                      	0.0471
demo_image/cropped_44.png	the                      	0.2339
demo_image/cropped_45.png	cdd                      	0.1172
demo_image/cropped_46.png	aza                      	0.1068
demo_image/cropped_47.png	the                      	0.0790
demo_image/cropped_48.png	count                    	0.0012
demo_image/cropped_49.png	sar                      	0.0057
demo_image/cropped_50.png	and                      	0.1160
demo_image/cropped_51.png	can                      	0.0916
demo_image/cropped_52.png	one                      	0.0542
demo_image/cropped_53.png	the                      	0.2770
demo_image/cropped_54.png	gm                       	0.3368
demo_image/cropped_55.png	978                      	0.7918
demo_image/cropped_56.png	and                      	0.1426
demo_image/cropped_57.png	cal                      	0.0167
demo_image/cropped_58.png	of                       	0.1114
demo_image/cropped_59.png	the                      	0.2055
demo_image/cropped_60.png	cll                      	0.1333
demo_image/cropped_61.png	976                      	0.0670
demo_image/cropped_62.png	the                      	0.1449
demo_image/cropped_63.png	col                      	0.1153
demo_image/cropped_64.png	978                      	0.7256
demo_image/cropped_65.png	and                      	0.1160
demo_image/cropped_66.png	can                      	0.0916
demo_image/cropped_67.png	one                      	0.0542
demo_image/cropped_68.png	and                      	0.0219
demo_image/cropped_69.png	an                       	0.1021
demo_image/cropped_70.png	and                      	0.0148
demo_image/cropped_71.png	the                      	0.5964
demo_image/cropped_72.png	con                      	0.2063
demo_image/cropped_73.png	978                      	0.1199
demo_image/cropped_74.png	and                      	0.1167
demo_image/cropped_75.png	goe                      	0.2542
demo_image/cropped_76.png	978                      	0.2845
demo_image/cropped_77.png	the                      	0.1565
demo_image/cropped_78.png	cde                      	0.0751
demo_image/cropped_79.png	978                      	0.6806
demo_image/cropped_80.png	and                      	0.1426
demo_image/cropped_81.png	cal                      	0.0167
demo_image/cropped_82.png	of                       	0.1114
demo_image/cropped_83.png	the                      	0.1188
demo_image/cropped_84.png	cor                      	0.1072
demo_image/cropped_85.png	978                      	0.7883
demo_image/cropped_86.png	and                      	0.1595
demo_image/cropped_87.png	can                      	0.0207
demo_image/cropped_88.png	ana                      	0.0279
demo_image/cropped_89.png	the                      	0.0777
demo_image/cropped_90.png	can                      	0.0205
demo_image/cropped_91.png	gila                     	0.0026
demo_image/cropped_92.png	and                      	0.1591
demo_image/cropped_93.png	cdd                      	0.3239
demo_image/cropped_94.png	378                      	0.2620
demo_image/cropped_95.png	the                      	0.1438
demo_image/cropped_96.png	cod                      	0.1326
demo_image/cropped_97.png	978                      	0.0570
demo_image/cropped_98.png	the                      	0.5964
demo_image/cropped_99.png	con                      	0.2063
demo_image/cropped_100.png	978                      	0.1199
demo_image/cropped_101.png	and                      	0.0203
demo_image/cropped_102.png	gol                      	0.1020
demo_image/cropped_103.png	975                      	0.1982
demo_image/cropped_104.png	41                       	0.6336
demo_image/cropped_105.png	kn                       	0.9690
demo_image/cropped_106.png	444                      	0.4913
demo_image/cropped_107.png	the                      	0.1781
demo_image/cropped_108.png	the                      	0.0709
demo_image/cropped_109.png	and                      	0.0227
demo_image/cropped_110.png	the                      	0.2055
demo_image/cropped_111.png	cll                      	0.1333
demo_image/cropped_112.png	976                      	0.0670
demo_image/cropped_113.png	21                       	0.1330
demo_image/cropped_114.png	cal                      	0.0134
